"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10"
"1","now","will","shall","must","new","nation","peopl","life","govern","everi"
"2","today","can","may","american","world","”","power","great","let","generat"
"3","day","work","one","time","america","know","make","thing","without","freedom"
"4","year","togeth","polit","chang","centuri","live","nation","men","unit","believ"
"5","justic","children","seek","fellow","land","democraci","peac","come","never","call"
"6","stand","help","spirit","citizen","promis","see","good","purpos","strong","peopl"
"7","god","way","action","mean","less","part","right","upon","nation","histori"
"8","just","act","duti","liberti","old","human","state","use","problem","common"
"9","end","better","ask","endur","challeng","million","upon","mani","forc","ideal"
"10","word","learn","task","well","respons","men","equal","women","side","long"
