"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10"
"1","upon","interest","will","state","union","great","countri","peopl","will","nation"
"2","right","protect","can","power","institut","time","free","public","duti","foreign"
"3","shall","one","shall","constitut","everi","present","prosper","govern","countrymen","peac"
"4","regard","govern","good","govern","exist","experi","govern","citizen","faith","territori"
"5","opinion","equal","may","unit","form","danger","liberti","american","best","polici"
"6","question","within","confid","feder","must","patriot","ever","law","yet","extend"
"7","everi","revenu","result","general","system","spirit","bless","limit","fellowcitizen","independ"
"8","secur","home","found","exercis","polit","wise","wisdom","constant","respons","well"
"9","principl","duti","hope","congress","domest","popul","mind","promot","men","may"
"10","now","far","expect","limit","object","subject","trade","encourag","offic","war"
