"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10"
"1","time","american","must","war","state","world","law","freedom","nation","will"
"2","today","great","govern","never","may","peac","busi","one","upon","america"
"3","year","life","can","civil","unit","new","protect","hope","respons","make"
"4","now","need","peopl","faith","shall","let","secur","peopl","great","right"
"5","citizen","mean","much","caus","countri","seek","congress","free","among","work"
"6","day","home","continu","ideal","part","man","feder","know","power","good"
"7","histori","call","public","spirit","maintain","old","administr","human","justic","everi"
"8","god","opportun","econom","common","increas","earth","parti","can","duti","live"
"9","countri","product","without","republ","direct","turn","import","men","way","togeth"
"10","mani","better","effort","confid","condit","toward","execut","liberti","support","heart"
