"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10"
"1","nation","will","state","govern","upon","upon","peopl","now","law","countri"
"2","great","shall","constitut","must","free","peopl","great","will","can","parti"
"3","peac","offic","union","interest","right","congress","american","one","constitut","unit"
"4","polici","servic","peopl","secur","citizen","public","make","year","case","subject"
"5","question","purpos","nation","time","govern","revenu","industri","everi","may","administr"
"6","respect","execut","exist","without","power","duti","given","war","question","polit"
"7","world","power","made","present","equal","condit","need","section","never","import"
"8","countri","right","territori","howev","may","demand","men","let","person","accept"
"9","good","enforc","institut","prosper","author","may","protect","effect","provis","best"
"10","foreign","faith","first","valu","local","alway","product","hope","object","civil"
